ID	VAR1	VAR2	VAR3
ID00001	0.281799905	3.244284065	1.705840362
ID00002	0.763241751	3.902293838	1.845064774
ID00003	0.224898816	4.143905262	0.978212791
ID00004	0.536068873	4.223251689	1.776712229
ID00005	0.512639017	2.394483905	1.535329771
ID00006	0.28741285	4.346388886	0.125990719
ID00007	0.116059049	4.751773047	0.221390043
ID00008	0.506299376	3.911771019	0.984854864
ID00009	0.243705137	3.087959561	0.202399189
ID00010	0.975594356	4.991925015	1.720881648
ID00011	0.373135334	2.836540333	0.138792832
ID00012	0.093283314	2.373832718	0.224595032
ID00013	0.794276907	3.485572127	1.16754355
ID00014	0.804232044	4.036787361	0.566278756
ID00015	0.022354545	3.579116187	1.644858757
ID00016	0.805821959	4.277835019	0.652901102
ID00017	0.44218879	4.923762789	0.018687575
ID00018	0.280332043	4.895090723	0.489364125
ID00019	0.930087337	2.50372939	1.903317097
ID00020	0.927450887	4.15014399	1.465975228
ID00021	0.435275799	2.793739086	0.050986549
ID00022	0.396299648	2.815491211	0.716409736
ID00023	0.204127182	3.715732236	0.908668665
ID00024	0.746427144	2.580967556	0.243942072
ID00025	0.987009673	2.877042898	1.134807719
ID00026	0.314733997	3.658939665	0.210538696
ID00027	0.027573204	2.121177124	0.951118425
ID00028	0.774244736	3.252440824	1.011919196
ID00029	0.347694956	3.162891288	0.214775468
ID00030	0.70164998	3.753438372	0.905460319
ID00031	0.348407127	3.784518126	0.682886965
ID00032	0.923986288	3.687074513	0.817692028
ID00033	0.988727301	2.170026222	1.430841276
ID00034	0.132084078	2.265388109	0.172082689
ID00035	0.508479479	2.010123847	1.32188742
ID00036	0.906682444	3.632566698	0.267874568
ID00037	0.78408477	4.139563081	0.90207156
ID00038	0.638680126	4.224448004	0.943287686
ID00039	0.873799792	2.110308175	0.973745042
ID00040	0.557339876	4.06953076	0.952810569
ID00041	0.344829127	3.744621277	0.068850277
ID00042	0.254409056	4.494698978	0.475562989
ID00043	0.980423079	2.859586106	0.341277406
ID00044	0.535199566	3.596259468	0.229128135
ID00045	0.146752705	2.048257459	0.722707517
